ObjectID,Source,Group,Subgroup,Title,Category,CategoriesWrapped,StartDate,EndDate,LocationName,Address,Latitude,Longitude,Borough,URL,MinAge,MaxAge,Image,Icon
1589,nypl,nypl,nypl_arts-and-crafts,67th Street Library Comic Book Festival: Make Your Own Stickers,arts-and-crafts,",arts-and-crafts,",2026-05-30T13:00:00-04:00,,67th Street Library,"328 East 67th Street, New York, NY 10065",40.7652,-73.9601,,https://www.nypl.org/events/programs/2026/05/30/67th-street-library-comic-book-festival-make-your-own-stickers,6,12,,arts-and-crafts
1590,nypl,nypl,nypl_arts-and-crafts,Sewing Saturdays,arts-and-crafts,",arts-and-crafts,",2026-05-30T14:00:00-04:00,,"Parkchester Library, Young Adult Area",,0,0,,https://www.nypl.org/events/programs/2026/05/02/sewing-saturdays,13,18,,arts-and-crafts
1591,nypl,nypl,nypl_arts-and-crafts,67th Street Library Comic Book Festival: Make a Comic Strip,arts-and-crafts,",arts-and-crafts,",2026-05-30T14:00:00-04:00,,67th Street Library,"328 East 67th Street, New York, NY 10065",40.7652,-73.9601,,https://www.nypl.org/events/programs/2026/05/30/67th-street-library-comic-book-festival-make-comic-strip,6,12,,arts-and-crafts
1592,nypl,nypl,nypl_arts-and-crafts,Little Loopers Club,arts-and-crafts,",arts-and-crafts,",2026-05-30T14:00:00-04:00,,"Francis Martin Library, Children's Room",,0,0,,https://www.nypl.org/events/programs/2026/05/30/little-loopers-club,6,12,,arts-and-crafts
1593,nypl,nypl,nypl_arts-and-crafts,Comfy Crochet Corner,arts-and-crafts,",arts-and-crafts,",2026-05-30T15:00:00-04:00,,Soundview Library,"660 Soundview Avenue, Bronx, NY 10473",40.8182,-73.8625,,https://www.nypl.org/events/programs/2026/05/09/comfy-crochet-corner,,,,arts-and-crafts
1594,nypl,nypl,nypl_arts-and-crafts,Family Craft Time: Creativity Break on a Saturday Afternoon,arts-and-crafts,",arts-and-crafts,",2026-05-30T15:00:00-04:00,,Inwood Library,,0,0,,https://www.nypl.org/events/programs/2026/05/02/family-craft-time-creativity-break-saturday-afternoon,,,,arts-and-crafts
1595,nypl,nypl,nypl_arts-and-crafts,67th Street Library Comic Book Festival: Cosplay Fashion Show,arts-and-crafts,",arts-and-crafts,",2026-05-30T15:30:00-04:00,,67th Street Library,"328 East 67th Street, New York, NY 10065",40.7652,-73.9601,,https://www.nypl.org/events/programs/2026/05/30/67th-street-library-comic-book-festival-cosplay-fashion-show,6,18,,arts-and-crafts
1596,nypl,nypl,nypl_arts-and-crafts,Junk - A - Journal,arts-and-crafts,",arts-and-crafts,",2026-06-01T15:00:00-04:00,,Hunts Point Library,"877 Southern Boulevard, Bronx, NY 10459",40.8187,-73.8939,,https://www.nypl.org/events/programs/2026/06/01/junk-journal,13,18,,arts-and-crafts
1597,nypl,nypl,nypl_arts-and-crafts,Coloring Time,arts-and-crafts,",arts-and-crafts,",2026-06-01T15:00:00-04:00,,Van Cortlandt Library,,0,0,,https://www.nypl.org/events/programs/2026/06/01/coloring-time,6,12,,arts-and-crafts
1598,nypl,nypl,nypl_arts-and-crafts,Kids STEAM: Storytime STEAM,arts-and-crafts,",arts-and-crafts,",2026-06-01T15:00:00-04:00,,Riverdale Library,"5540 Mosholu Avenue, Bronx, NY 10471",40.9029,-73.9037,,https://www.nypl.org/events/programs/2026/06/01/kids-steam-storytime-steam,6,12,,arts-and-crafts
1599,nypl,nypl,nypl_arts-and-crafts,Beyblade Tournament Series (June 2026),arts-and-crafts,",arts-and-crafts,",2026-06-01T15:00:00-04:00,,Ottendorfer Library,"135 Second Avenue, New York, NY 10003",40.7288,-73.9877,,https://www.nypl.org/events/programs/2026/06/01/beyblade-tournament-series-june-2026,6,18,,arts-and-crafts
1600,nypl,nypl,nypl_arts-and-crafts,Anime Club: Button Making,arts-and-crafts,",arts-and-crafts,",2026-06-01T15:30:00-04:00,,"Belmont Library and Enrico Fermi Cultural Center, Atrium",,0,0,,https://www.nypl.org/events/programs/2026/06/01/anime-club-button-making,13,18,,arts-and-crafts
1601,nypl,nypl,nypl_arts-and-crafts,Smile Slime,arts-and-crafts,",arts-and-crafts,",2026-06-01T15:30:00-04:00,,"Baychester Library, Community Meeting Room",,0,0,,https://www.nypl.org/events/programs/2026/06/01/slime-making-our-teen-center-ambassadors,13,18,,arts-and-crafts
